ACADEMIC_YEAR,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,CURRENT_INSTITUTE_ADDRESS,PROGRAMME,LEVEL_CATEGORY,INSTI_REGION,INSTI_STATE,INSTITUTE_DISTRICT,INSTI_CITY,INST_TYPE,WOMEN_INST_FLAG,MINORITY_FLAG,sno
2016-2017,1-2809250960,SARASWATI EDUCATION SOCIETY'S GROUP OF INSTITUTIONS FACULTY OF ENGINEERING AND FACULTY OF MANAGEMENT,"SA. VANDANA N. TASGAONKAR TECHNICAL EDUCATION COMPLEX, PLOT. NO. 14, VILLAGE- DIKSAL, POST-KOSHANE, KALYAN-KARJAT ROAD, OPP. BHIPURI ROAD RAILWAY STATION, TAL: KARJAT, DIST: RAIGAD",ENGINEERING AND TECHNOLOGY,PG,Western,Maharashtra,RAIGAD,KARJAT,Unaided - Private,N,N,563
2016-2017,1-2809250960,SARASWATI EDUCATION SOCIETY'S GROUP OF INSTITUTIONS FACULTY OF ENGINEERING AND FACULTY OF MANAGEMENT,"SA. VANDANA N. TASGAONKAR TECHNICAL EDUCATION COMPLEX, PLOT. NO. 14, VILLAGE- DIKSAL, POST-KOSHANE, KALYAN-KARJAT ROAD, OPP. BHIPURI ROAD RAILWAY STATION, TAL: KARJAT, DIST: RAIGAD",ENGINEERING AND TECHNOLOGY,PG,Western,Maharashtra,RAIGAD,KARJAT,Unaided - Private,N,N,564
2016-2017,1-2812193619,ACCORD BUSINESS SCHOOL,"594 AND 595, BHEDPUR, PO. MUMUKSHU ASRAM, 5 KM MILE STONE ON NH24, SHAHJAHANPUR",MANAGEMENT,PG,Northern,Uttar Pradesh,SHAHJAHANPUR,SHAHJAHANPUR,Unaided - Private,N,N,565
2016-2017,1-2811909746,CARDINAL CLEEMIS SCHOOL OF  MANAGEMENT STUDIES,"MAR IVANIOS VIDYANAGAR, NALANCHIRA, THIRUVANANTHAPURAM - 695 015",MANAGEMENT,PG,South-West,Kerala,THIRUVANANTHAPURAM,THIRUVANANTHYAPURAM,Unaided - Private,N,Y,566
2016-2017,1-2814421398,SHRI PANDIT ANNA PATIL COLLEGE OF ENGINEERING,"SURVEY NO. 227/2, PALDHI BK. NEAR NORTH MAHARASHTRA UNIVERSITY, OPP. HOTEL GOVIND,",ENGINEERING AND TECHNOLOGY,UG,Western,Maharashtra,JALGAON,TAL : DHARANGAON,Unaided - Private,N,N,567
2016-2017,1-2814421398,SHRI PANDIT ANNA PATIL COLLEGE OF ENGINEERING,"SURVEY NO. 227/2, PALDHI BK. NEAR NORTH MAHARASHTRA UNIVERSITY, OPP. HOTEL GOVIND,",ENGINEERING AND TECHNOLOGY,UG,Western,Maharashtra,JALGAON,TAL : DHARANGAON,Unaided - Private,N,N,568
2016-2017,1-2814421398,SHRI PANDIT ANNA PATIL COLLEGE OF ENGINEERING,"SURVEY NO. 227/2, PALDHI BK. NEAR NORTH MAHARASHTRA UNIVERSITY, OPP. HOTEL GOVIND,",ENGINEERING AND TECHNOLOGY,UG,Western,Maharashtra,JALGAON,TAL : DHARANGAON,Unaided - Private,N,N,569
2016-2017,1-2814421398,SHRI PANDIT ANNA PATIL COLLEGE OF ENGINEERING,"SURVEY NO. 227/2, PALDHI BK. NEAR NORTH MAHARASHTRA UNIVERSITY, OPP. HOTEL GOVIND,",ENGINEERING AND TECHNOLOGY,UG,Western,Maharashtra,JALGAON,TAL : DHARANGAON,Unaided - Private,N,N,570
2016-2017,1-2814389708,UTTAM CHAND MALI DEVI COLLEGE OF MGT. SC.,SECTOR-10 KUMBHA MARG PRATAP NAGAR SANGANER,MANAGEMENT,PG,North-West,Rajasthan,JAIPUR,JAIPUR,Unaided - Private,N,N,571
2016-2017,1-2813507371,K.P.PATEL SCHOOL OF MANAGEMENT & COMPUTER STUDIES (KSMCS),"JEEVANSHILP CAMPUS, GAROD ROAD, KAPADWANJ DIST: KHEDA",MANAGEMENT,PG,Central,Gujarat,KHEDA,KAPADWANJ,Unaided - Private,N,N,572
2016-2017,1-2813507371,K.P.PATEL SCHOOL OF MANAGEMENT & COMPUTER STUDIES (KSMCS),"JEEVANSHILP CAMPUS, GAROD ROAD, KAPADWANJ DIST: KHEDA",MCA,PG,Central,Gujarat,KHEDA,KAPADWANJ,Unaided - Private,N,N,573
2016-2017,1-2813455141,CORE BUSINESS SCHOOL,"CORE BUSINESS SCHOOL,
BEHIND LNCT, VILLAGE-BHONRASALA, (NEAR REOTI RANGE),
SANWER ROAD, TEHSIL-SANVER, DISTT, INDORE - 453331",MANAGEMENT,PG,Central,Madhya Pradesh,INDORE,INDORE,Unaided - Private,N,N,574
2016-2017,1-2813932732,SCHOOL OF COMPUTER SCIENCE,"#3,LODHI ESTATE
NEW DELHI-110003",MCA,PG,North-West,Delhi,NEW DELHI,NEW DELHI,Unaided - Private,N,N,575
2016-2017,1-2813896831,H.L.AGRAWAL COLLEGE OF ENGINEERING,"PLOT NO. 213/3, SANKHEDA NAKA, OLD ITARSI, ITARSI.",ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,HOSHANGABAD,ITARSI,Unaided - Private,N,N,576
2016-2017,1-2813896831,H.L.AGRAWAL COLLEGE OF ENGINEERING,"PLOT NO. 213/3, SANKHEDA NAKA, OLD ITARSI, ITARSI.",ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,HOSHANGABAD,ITARSI,Unaided - Private,N,N,577
2016-2017,1-2813896831,H.L.AGRAWAL COLLEGE OF ENGINEERING,"PLOT NO. 213/3, SANKHEDA NAKA, OLD ITARSI, ITARSI.",ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,HOSHANGABAD,ITARSI,Unaided - Private,N,N,578
