state_code,state_name,level,dist_code,name_of_city,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female
09,UTTAR PRADESH,71,26,Lucknow (M Corp.),"2,815,601","1,470,133","1,345,468","280,817","147,690","133,127","2,147,564","1,161,250","986,314",915,901,84.72,87.81,81.36
09,UTTAR PRADESH,7,27,Rae Bareli (NPP),"191,056","99,844","91,212","18,866","9,886","8,980","142,863","78,519","64,344",914,908,82.97,87.28,78.25
09,UTTAR PRADESH,71,28,Farrukhabad-cum-Fatehgarh (NPP),"275,754","145,515","130,239","32,342","17,340","15,002","182,356","101,282","81,074",895,865,74.92,79.02,70.35
09,UTTAR PRADESH,7,30,Etawah (NPP),"256,790","135,829","120,961","28,922","15,521","13,401","188,887","104,612","84,275",891,863,82.89,86.95,78.35
09,UTTAR PRADESH,71,33,Kanpur (M Corp.),"2,767,031","1,502,370","1,264,661","251,127","135,498","115,629","2,116,973","1,172,323","944,650",842,853,84.14,85.77,82.21
09,UTTAR PRADESH,71,33,Kanpur (C,"108,035","58,505","49,530","10,750","5,617","5,133","77,484","44,086","33,398",847,914,79.65,83.36,75.23
09,UTTAR PRADESH,71,34,Orai (NPP),"187,185","99,564","87,621","20,031","10,859","9,172","139,256","79,478","59,778",880,845,83.31,89.60,76.20
09,UTTAR PRADESH,71,35,Jhansi (M Corp.),"507,293","268,101","239,192","51,762","27,715","24,047","381,771","214,375","167,396",892,868,83.81,89.18,77.81
09,UTTAR PRADESH,7,36,Lalitpur (NPP),"133,041","69,548","63,493","16,193","8,413","7,780","98,108","55,330","42,778",913,925,83.96,90.50,76.78
09,UTTAR PRADESH,71,39,Banda (NPP),"154,388","82,215","72,173","17,697","9,351","8,346","113,857","64,871","48,986",878,893,83.30,89.03,76.75
09,UTTAR PRADESH,7,41,Fatehpur (NPP),"193,801","101,620","92,181","22,078","11,850","10,228","133,418","74,561","58,857",907,863,77.69,83.06,71.82
09,UTTAR PRADESH,71,44,Allahabad (M Corp.),"1,117,094","601,363","515,731","102,556","54,660","47,896","877,590","493,181","384,409",858,876,86.50,90.21,82.17
09,UTTAR PRADESH,71,46,Faizabad (NPP),"167,544","87,279","80,265","16,479","8,658","7,821","130,700","70,243","60,457",920,903,86.52,89.34,83.45
09,UTTAR PRADESH,7,47,Akbarpur (NPP),"111,594","57,560","54,034","14,037","7,247","6,790","75,062","42,208","32,854",939,937,76.94,83.89,69.54
09,UTTAR PRADESH,71,48,Sultanpur (NPP),"107,914","56,674","51,240","11,266","5,975","5,291","85,656","46,736","38,920",904,886,88.63,92.18,84.70
09,UTTAR PRADESH,7,49,Bahraich (NPP),"186,241","98,529","87,712","22,828","12,046","10,782","122,602","66,544","56,058",890,895,75.03,76.94,72.87
09,UTTAR PRADESH,71,52,Gonda (NPP),"114,353","58,484","55,869","12,289","6,476","5,813","82,739","45,825","36,914",955,898,81.07,88.11,73.75
09,UTTAR PRADESH,7,54,Basti (NPP),"114,651","60,126","54,525","12,568","6,541","6,027","87,065","48,473","38,592",907,921,85.29,90.46,79.57
09,UTTAR PRADESH,71,57,Gorakhpur (M Corp.),"671,048","353,550","317,498","62,205","32,969","29,236","523,441","290,760","232,681",898,887,85.97,90.70,80.72
09,UTTAR PRADESH,7,59,Deoria (NPP),"129,570","67,754","61,816","13,821","7,243","6,578","102,802","56,719","46,083",912,908,88.81,93.73,83.43
